Node;IP;PASS;TECH;NODETYPE;SUBNW;C-RNC;C-BSC;STATE;RBSID;ENBID;REL;SITEID;OSS;FINGERPRINT;BBTYPE;TIMESTAMP;GNBID
CRI0029Q_9NB01;10.183.51.110;-;2G3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;345652;-;23.Q2;-;ENM-RAN1A;CRI0029Q_9NB01;;2002_21May2025;-
CRI0029T_2NB03;10.183.51.118;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;345652;23.Q2;-;ENM-RAN1A;CRI0029T_2NB03;;2002_21May2025;-
CRI0029X_2NB04;10.183.51.122;-;3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;345642;-;23.Q2;-;ENM-RAN1A;CRI0029X_2NB04;;2002_21May2025;-
CRI0034P_9NB02;10.183.122.254;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;356482;23.Q2;-;ENM-RAN1A;CRI0034P_9NB02;;2002_21May2025;554312
CRI0034Q_9NB01;10.173.134.2;-;2G3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;356512;-;23.Q2;null;ENM-RAN1A;CRI0034Q_9NB01;;2002_21May2025;-
CRI0034T_2NB03;10.173.134.6;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;356512;23.Q2;-;ENM-RAN1A;CRI0034T_2NB03;;2002_21May2025;-
CRI0034X_2NB04;10.173.134.10;-;3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;356482;-;23.Q2;-;ENM-RAN1A;CRI0034X_2NB04;;2002_21May2025;-
CRI0035P_9NB02;10.173.141.254;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;387852;23.Q2;-;ENM-RAN1A;CRI0035P_9NB02;;2002_21May2025;509112
CRI0035Q_9NB01;10.173.235.2;-;2G3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;387682;-;23.Q2;-;ENM-RAN1A;CRI0035Q_9NB01;;2002_21May2025;-
CRI0035T_2NB03;10.173.235.6;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;387862;23.Q2;-;ENM-RAN1A;CRI0035T_2NB03;;2002_21May2025;-
CRI0035X_2NB04;10.173.235.10;-;3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;387712;-;23.Q2;-;ENM-RAN1A;CRI0035X_2NB04;;2002_21May2025;-
CRI0037P_9NB02;10.221.96.18;-;4G5G;RADIONODE;UNDEF;null;-;UNSYNCHRONIZED;-;364332;23.Q2;-;ENM-RAN1A;CRI0037P_9NB02;;2002_21May2025;562872
CRI0037Q_9NB01;10.221.96.22;-;2G3G;RADIONODE;UNDEF;CMI8362X;-;UNSYNCHRONIZED;364142;-;23.Q2;-;ENM-RAN1A;CRI0037Q_9NB01;;2002_21May2025;-
CRI0037T_2NB03;10.221.96.10;-;4G;RADIONODE;UNDEF;null;-;UNSYNCHRONIZED;-;364122;23.Q2;-;ENM-RAN1A;CRI0037T_2NB03;;2002_21May2025;-
CRI0037X_2NB04;10.221.96.14;-;3G;RADIONODE;UNDEF;CMI8362X;-;UNSYNCHRONIZED;364132;-;23.Q2;-;ENM-RAN1A;CRI0037X_2NB04;;2002_21May2025;-
CRI0040P_9NB02;10.173.235.230;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;393642;23.Q2;-;ENM-RAN1A;CRI0040P_9NB02;;2002_21May2025;514112
CRI0040Q_9NB01;10.173.235.234;-;2G3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;392612;-;23.Q2;-;ENM-RAN1A;CRI0040Q_9NB01;;2002_21May2025;-
CRI0040T_2NB03;10.173.235.238;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;392582;23.Q2;-;ENM-RAN1A;CRI0040T_2NB03;;2002_21May2025;-
CRI0040X_2NB04;10.173.235.242;-;3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;392622;-;23.Q2;-;ENM-RAN1A;CRI0040X_2NB04;;2002_21May2025;-
CRI0042P_9NB02;10.183.51.166;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;345662;23.Q2;-;ENM-RAN1A;CRI0042P_9NB02;;2002_21May2025;596842
CRI0042Q_9NB01;10.183.51.170;-;2G3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;345672;-;23.Q2;null;ENM-RAN1A;CRI0042Q_9NB01;;2002_21May2025;-
CRI0042T_2NB03;10.183.51.174;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;345672;23.Q2;-;ENM-RAN1A;CRI0042T_2NB03;;2002_21May2025;-
CRI0042X_2NB04;10.183.51.178;-;3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;345662;-;23.Q2;-;ENM-RAN1A;CRI0042X_2NB04;;2002_21May2025;-
CRI0061P_9NB02;10.183.51.38;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;337122;23.Q2;-;ENM-RAN1A;CRI0061P_9NB02;;2002_21May2025;594222
CRI0061Q_9NB01;10.183.51.42;-;2G3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;337662;-;23.Q2;-;ENM-RAN1A;CRI0061Q_9NB01;;2002_21May2025;-
CRI0061T_2NB03;10.183.51.50;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;338242;23.Q2;-;ENM-RAN1A;CRI0061T_2NB03;;2002_21May2025;-
CRI0061X_2NB04;10.183.51.54;-;3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;337652;-;23.Q2;-;ENM-RAN1A;CRI0061X_2NB04;;2002_21May2025;-
CRI0064P_9NB02;10.196.94.238;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;324972;23.Q2;-;ENM-RAN1A;CRI0064P_9NB02;;2002_21May2025;590512
CRI0064Q_9NB01;10.196.94.242;-;2G3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;92912;-;23.Q2;-;ENM-RAN1A;CRI0064Q_9NB01;;2002_21May2025;-
CRI0064T_2NB03;10.196.94.250;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;330382;23.Q2;-;ENM-RAN1A;CRI0064T_2NB03;;2002_21May2025;-
CRI0064X_2NB04;10.196.94.254;-;3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;92882;-;23.Q2;-;ENM-RAN1A;CRI0064X_2NB04;;2002_21May2025;-
CRI0066P_9NB02;10.173.235.94;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;392612;23.Q2;-;ENM-RAN1A;CRI0066P_9NB02;;2002_21May2025;514132
CRI0066Q_9NB01;10.173.235.98;-;2G3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;392632;-;23.Q2;-;ENM-RAN1A;CRI0066Q_9NB01;;2002_21May2025;-
CRI0066T_2NB03;10.173.235.102;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;392622;23.Q2;-;ENM-RAN1A;CRI0066T_2NB03;;2002_21May2025;-
CRI0066X_2NB04;10.173.235.106;-;3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;392642;-;23.Q2;-;ENM-RAN1A;CRI0066X_2NB04;;2002_21May2025;-
CRI0067P_9NB02;10.221.90.238;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;356542;23.Q2;-;ENM-RAN1A;CRI0067P_9NB02;;2002_21May2025;554422
CRI0067Q_9NB01;10.221.90.242;-;2G3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;356552;-;23.Q2;null;ENM-RAN1A;CRI0067Q_9NB01;;2002_21May2025;-
CRI0067T_2NB03;10.221.90.230;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;356552;23.Q2;-;ENM-RAN1A;CRI0067T_2NB03;;2002_21May2025;-
CRI0067X_2NB04;10.221.90.234;-;3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;356542;-;23.Q2;-;ENM-RAN1A;CRI0067X_2NB04;;2002_21May2025;-
CRI0069P_9NB01;10.221.73.30;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;69452;23.Q2;-;ENM-RAN1A;CRI0069P_9NB01;;2002_21May2025;141312
CRI0069Q_9NB02;10.221.73.34;-;2G3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;69432;-;23.Q2;-;ENM-RAN1A;CRI0069Q_9NB02;;2002_21May2025;-
CRI0069Q_9NB03;10.221.73.38;-;2G3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;69442;-;23.Q2;-;ENM-RAN1A;CRI0069Q_9NB03;;2002_21May2025;-
CRI0069T_2NB04;10.221.73.22;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;73872;23.Q2;-;ENM-RAN1A;CRI0069T_2NB04;;2002_21May2025;-
CRI0069X_2NB05;10.221.73.26;-;3G4G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;73862;73862;23.Q2;-;ENM-RAN1A;CRI0069X_2NB05;;2002_21May2025;-
CRI0083P_9NB02;10.173.134.14;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;363222;23.Q2;-;ENM-RAN1A;CRI0083P_9NB02;;2002_21May2025;561752
CRI0083Q_9NB01;10.173.134.18;-;2G3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;362982;-;23.Q2;null;ENM-RAN1A;CRI0083Q_9NB01;;2002_21May2025;-
CRI0083T_2NB03;10.173.134.22;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;362832;23.Q2;-;ENM-RAN1A;CRI0083T_2NB03;;2002_21May2025;-
CRI0083X_2NB04;10.173.134.26;-;3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;362972;-;23.Q2;-;ENM-RAN1A;CRI0083X_2NB04;;2002_21May2025;-
CRI0094P_9NB01;10.173.235.246;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;393652;23.Q2;-;ENM-RAN1A;CRI0094P_9NB01;;2002_21May2025;514142
CRI0094T_2NB02;10.173.235.254;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;392632;23.Q2;-;ENM-RAN1A;CRI0094T_2NB02;;2002_21May2025;-
CRI0094X_2NB03;10.173.235.250;-;2G3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;392652;-;23.Q2;-;ENM-RAN1A;CRI0094X_2NB03;;2002_21May2025;-
CRI0095P_9NB01;10.183.51.246;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;393662;23.Q2;-;ENM-RAN1A;CRI0095P_9NB01;;2002_21May2025;514162
CRI0095T_2NB02;10.183.51.254;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;392642;23.Q2;-;ENM-RAN1A;CRI0095T_2NB02;;2002_21May2025;-
CRI0095X_2NB03;10.183.51.250;-;2G3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;392662;-;23.Q2;-;ENM-RAN1A;CRI0095X_2NB03;;2002_21May2025;-
CRI0096P_9NB02;10.173.235.110;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;393672;23.Q2;-;ENM-RAN1A;CRI0096P_9NB02;;2002_21May2025;514182
CRI0096Q_9NB01;10.173.235.114;-;2G3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;392672;-;23.Q2;-;ENM-RAN1A;CRI0096Q_9NB01;;2002_21May2025;-
CRI0096T_2NB03;10.173.235.118;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;392652;23.Q2;-;ENM-RAN1A;CRI0096T_2NB03;;2002_21May2025;-
CRI0096X_2NB04;10.173.235.122;-;3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;392682;-;23.Q2;-;ENM-RAN1A;CRI0096X_2NB04;;2002_21May2025;-
CRI0100P_9NB02;10.173.134.30;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;356562;23.Q2;-;ENM-RAN1A;CRI0100P_9NB02;;2002_21May2025;554432
CRI0100Q_9NB01;10.173.134.34;-;2G3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;356572;-;23.Q2;null;ENM-RAN1A;CRI0100Q_9NB01;;2002_21May2025;-
CRI0100T_2NB03;10.173.134.38;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;356572;23.Q2;-;ENM-RAN1A;CRI0100T_2NB03;;2002_21May2025;-
CRI0100X_2NB04;10.173.134.42;-;3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;356562;-;23.Q2;-;ENM-RAN1A;CRI0100X_2NB04;;2002_21May2025;-
CRI0101P_9NB02;10.196.94.98;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;315532;23.Q2;-;ENM-RAN1A;CRI0101P_9NB02;;2002_21May2025;587322
CRI0101Q_9NB01;10.196.94.102;-;2G3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;60042;-;23.Q2;-;ENM-RAN1A;CRI0101Q_9NB01;;2002_21May2025;-
CRI0101T_2NB03;10.196.94.110;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;315542;23.Q2;-;ENM-RAN1A;CRI0101T_2NB03;;2002_21May2025;-
CRI0101X_2NB04;10.196.94.114;-;3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;59982;-;23.Q2;-;ENM-RAN1A;CRI0101X_2NB04;;2002_21May2025;-
CRI0103P_9NB01;10.173.235.14;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;387872;23.Q2;-;ENM-RAN1A;CRI0103P_9NB01;;2002_21May2025;509172
CRI0103T_2NB02;10.173.235.22;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;387882;23.Q2;-;ENM-RAN1A;CRI0103T_2NB02;;2002_21May2025;-
CRI0103X_2NB03;10.173.235.18;-;2G3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;387722;-;23.Q2;-;ENM-RAN1A;CRI0103X_2NB03;;2002_21May2025;-
CRI0105P_9NB01;10.173.235.126;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;393682;23.Q2;-;ENM-RAN1A;CRI0105P_9NB01;;2002_21May2025;514212
CRI0105T_2NB02;10.173.235.134;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;392662;23.Q2;-;ENM-RAN1A;CRI0105T_2NB02;;2002_21May2025;-
CRI0105X_2NB03;10.173.235.130;-;2G3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;392712;-;23.Q2;-;ENM-RAN1A;CRI0105X_2NB03;;2002_21May2025;-
CRI0106P_9NB01;10.173.235.30;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;386932;23.Q2;-;ENM-RAN1A;CRI0106P_9NB01;;2002_21May2025;506622
CRI0106T_2NB02;10.173.235.38;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;386942;23.Q2;-;ENM-RAN1A;CRI0106T_2NB02;;2002_21May2025;-
CRI0106X_2NB03;10.173.235.34;-;2G3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;386932;-;23.Q2;-;ENM-RAN1A;CRI0106X_2NB03;;2002_21May2025;-
CRI0124P_9NB02;10.173.235.142;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;393712;23.Q2;-;ENM-RAN1A;CRI0124P_9NB02;;2002_21May2025;514222
CRI0124Q_9NB01;10.173.235.146;-;2G3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;392722;-;23.Q2;-;ENM-RAN1A;CRI0124Q_9NB01;;2002_21May2025;-
CRI0124T_2NB03;10.173.235.150;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;392672;23.Q2;-;ENM-RAN1A;CRI0124T_2NB03;;2002_21May2025;-
CRI0124X_2NB04;10.173.235.154;-;3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;392732;-;23.Q2;-;ENM-RAN1A;CRI0124X_2NB04;;2002_21May2025;-
CRI0125P_9NB01;10.221.73.50;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;69482;23.Q2;-;ENM-RAN1A;CRI0125P_9NB01;;2002_21May2025;142132
CRI0125Q_9NB02;10.221.73.54;-;2G3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;69462;-;23.Q2;-;ENM-RAN1A;CRI0125Q_9NB02;;2002_21May2025;-
CRI0125Q_9NB03;10.221.73.58;-;2G3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;69472;-;23.Q2;-;ENM-RAN1A;CRI0125Q_9NB03;;2002_21May2025;-
CRI0125T_2NB04;10.221.73.42;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;73912;23.Q2;-;ENM-RAN1A;CRI0125T_2NB04;;2002_21May2025;-
CRI0125X_2NB05;10.221.73.46;-;3G4G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;73882;73882;23.Q2;-;ENM-RAN1A;CRI0125X_2NB05;;2002_21May2025;-
CRI0128P_9NB02;10.183.51.126;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;342512;23.Q2;-;ENM-RAN1A;CRI0128P_9NB02;;2002_21May2025;595682
CRI0128Q_9NB01;10.183.51.130;-;2G3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;342522;-;23.Q2;null;ENM-RAN1A;CRI0128Q_9NB01;;2002_21May2025;-
CRI0128T_2NB03;10.183.51.138;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;342522;23.Q2;-;ENM-RAN1A;CRI0128T_2NB03;;2002_21May2025;-
CRI0128X_2NB04;10.183.51.142;-;3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;342512;-;23.Q2;-;ENM-RAN1A;CRI0128X_2NB04;;2002_21May2025;-
CRI0131P_9NB02;10.221.90.10;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;364352;23.Q2;-;ENM-RAN1A;CRI0131P_9NB02;;2002_21May2025;562942
CRI0131Q_9NB01;10.221.90.14;-;2G3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;364182;-;23.Q2;null;ENM-RAN1A;CRI0131Q_9NB01;;2002_21May2025;-
CRI0131T_2NB03;10.221.90.2;-;4G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;364142;23.Q2;-;ENM-RAN1A;CRI0131T_2NB03;;2002_21May2025;-
CRI0131X_2NB04;10.221.90.6;-;3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;364172;-;23.Q2;-;ENM-RAN1A;CRI0131X_2NB04;;2002_21May2025;-
CRI0135L_6NB05;10.221.100.10;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;10452;23.Q2;-;ENM-RAN1A;CRI0135L_6NB05;;2002_21May2025;127062
CRI0135L_6NB06;10.221.100.14;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;10912;23.Q2;-;ENM-RAN1A;CRI0135L_6NB06;;2002_21May2025;127072
CRI0135P_9NB01;10.221.100.26;-;4G5G;RADIONODE;UNDEF;null;-;SYNCHRONIZED;-;66222;23.Q2;-;ENM-RAN1A;CRI0135P_9NB01;;2002_21May2025;137362
CRI0135Q_9NB02;10.221.100.30;-;2G3G;RADIONODE;UNDEF;CMI8362X;-;SYNCHRONIZED;66212;-;23.Q2;-;ENM-RAN1A;CRI0135Q_9NB02;;2002_21May2025;-
